07543,97906,9790622,ﾌｸｼﾏｹﾝ,ﾌﾀﾊﾞｸﾞﾝﾄﾐｵｶﾏﾁ,ﾄｳｷｮｳﾃﾞﾝﾘｮｸﾌｸｼﾏﾀﾞｲ2ｹﾞﾝｼﾘｮｸﾊﾂﾃﾞﾝｼｮｺｳﾅｲ),福島県,双葉郡富岡町,〔東京電力福島第二原子力発電所構内〕）,1,1,0,0,0,0
13101,100  ,1006806,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(6ｶｲ),東京都,千代田区,大手町ＪＡビル（６階）,0,0,0,0,0,0
13101,100  ,1006807,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(7ｶｲ),東京都,千代田区,大手町ＪＡビル（７階）,0,0,0,0,0,0
13101,100  ,1006808,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(8ｶｲ),東京都,千代田区,大手町ＪＡビル（８階）,0,0,0,0,0,0
13101,100  ,1006809,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(9ｶｲ),東京都,千代田区,大手町ＪＡビル（９階）,0,0,0,0,0,0
13101,100  ,1006810,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(10ｶｲ),東京都,千代田区,大手町ＪＡビル（１０階）,0,0,0,0,0,0
13101,100  ,1006811,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(11ｶｲ),東京都,千代田区,大手町ＪＡビル（１１階）,0,0,0,0,0,0
13101,100  ,1006812,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(12ｶｲ),東京都,千代田区,大手町ＪＡビル（１２階）,0,0,0,0,0,0
13101,100  ,1006813,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(13ｶｲ),東京都,千代田区,大手町ＪＡビル（１３階）,0,0,0,0,0,0
13101,100  ,1006814,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(14ｶｲ),東京都,千代田区,大手町ＪＡビル（１４階）,0,0,0,0,0,0
13101,100  ,1006815,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(15ｶｲ),東京都,千代田区,大手町ＪＡビル（１５階）,0,0,0,0,0,0
13101,100  ,1006816,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(16ｶｲ),東京都,千代田区,大手町ＪＡビル（１６階）,0,0,0,0,0,0
13101,100  ,1006817,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(17ｶｲ),東京都,千代田区,大手町ＪＡビル（１７階）,0,0,0,0,0,0
13101,100  ,1006818,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(18ｶｲ),東京都,千代田区,大手町ＪＡビル（１８階）,0,0,0,0,0,0
13101,100  ,1006819,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(19ｶｲ),東京都,千代田区,大手町ＪＡビル（１９階）,0,0,0,0,0,0
13101,100  ,1006820,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(20ｶｲ),東京都,千代田区,大手町ＪＡビル（２０階）,0,0,0,0,0,0
13101,100  ,1006821,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(21ｶｲ),東京都,千代田区,大手町ＪＡビル（２１階）,0,0,0,0,0,0
13101,100  ,1006822,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(22ｶｲ),東京都,千代田区,大手町ＪＡビル（２２階）,0,0,0,0,0,0
13101,100  ,1006823,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(23ｶｲ),東京都,千代田区,大手町ＪＡビル（２３階）,0,0,0,0,0,0
13101,100  ,1006824,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(24ｶｲ),東京都,千代田区,大手町ＪＡビル（２４階）,0,0,0,0,0,0
13101,100  ,1006825,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(25ｶｲ),東京都,千代田区,大手町ＪＡビル（２５階）,0,0,0,0,0,0
13101,100  ,1006826,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(26ｶｲ),東京都,千代田区,大手町ＪＡビル（２６階）,0,0,0,0,0,0
13101,100  ,1006827,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(27ｶｲ),東京都,千代田区,大手町ＪＡビル（２７階）,0,0,0,0,0,0
13101,100  ,1006828,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(28ｶｲ),東京都,千代田区,大手町ＪＡビル（２８階）,0,0,0,0,0,0
13101,100  ,1006829,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(29ｶｲ),東京都,千代田区,大手町ＪＡビル（２９階）,0,0,0,0,0,0
13101,100  ,1006830,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(30ｶｲ),東京都,千代田区,大手町ＪＡビル（３０階）,0,0,0,0,0,0
13101,100  ,1006831,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(31ｶｲ),東京都,千代田区,大手町ＪＡビル（３１階）,0,0,0,0,0,0
13101,100  ,1006832,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(32ｶｲ),東京都,千代田区,大手町ＪＡビル（３２階）,0,0,0,0,0,0
13101,100  ,1006833,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(33ｶｲ),東京都,千代田区,大手町ＪＡビル（３３階）,0,0,0,0,0,0
13101,100  ,1006834,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(34ｶｲ),東京都,千代田区,大手町ＪＡビル（３４階）,0,0,0,0,0,0
13101,100  ,1006835,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(35ｶｲ),東京都,千代田区,大手町ＪＡビル（３５階）,0,0,0,0,0,0
13101,100  ,1006836,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(36ｶｲ),東京都,千代田区,大手町ＪＡビル（３６階）,0,0,0,0,0,0
13101,100  ,1006837,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｵｵﾃﾏﾁｼﾞｪｲｴｲﾋﾞﾙ(37ｶｲ),東京都,千代田区,大手町ＪＡビル（３７階）,0,0,0,0,0,0
13101,101  ,1010044,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｼﾞﾁｮｳ,東京都,千代田区,鍛冶町,0,0,1,0,0,0
13101,100  ,1000013,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷ(ﾂｷﾞﾉﾋﾞﾙｦﾉｿﾞｸ),東京都,千代田区,霞が関（次のビルを除く）,0,0,1,0,0,0
13101,100  ,1006090,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(ﾁｶｲ･ｶｲｿｳﾌﾒｲ),東京都,千代田区,霞が関霞が関ビル（地階・階層不明）,0,0,0,0,0,0
13101,100  ,1006001,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(1ｶｲ),東京都,千代田区,霞が関霞が関ビル（１階）,0,0,0,0,0,0
13101,100  ,1006002,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(2ｶｲ),東京都,千代田区,霞が関霞が関ビル（２階）,0,0,0,0,0,0
13101,100  ,1006003,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(3ｶｲ),東京都,千代田区,霞が関霞が関ビル（３階）,0,0,0,0,0,0
13101,100  ,1006004,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(4ｶｲ),東京都,千代田区,霞が関霞が関ビル（４階）,0,0,0,0,0,0
13101,100  ,1006005,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(5ｶｲ),東京都,千代田区,霞が関霞が関ビル（５階）,0,0,0,0,0,0
13101,100  ,1006006,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(6ｶｲ),東京都,千代田区,霞が関霞が関ビル（６階）,0,0,0,0,0,0
13101,100  ,1006007,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(7ｶｲ),東京都,千代田区,霞が関霞が関ビル（７階）,0,0,0,0,0,0
13101,100  ,1006008,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(8ｶｲ),東京都,千代田区,霞が関霞が関ビル（８階）,0,0,0,0,0,0
13101,100  ,1006009,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(9ｶｲ),東京都,千代田区,霞が関霞が関ビル（９階）,0,0,0,0,0,0
13101,100  ,1006010,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(10ｶｲ),東京都,千代田区,霞が関霞が関ビル（１０階）,0,0,0,0,0,0
13101,100  ,1006011,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(11ｶｲ),東京都,千代田区,霞が関霞が関ビル（１１階）,0,0,0,0,0,0
13101,100  ,1006012,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(12ｶｲ),東京都,千代田区,霞が関霞が関ビル（１２階）,0,0,0,0,0,0
13101,100  ,1006013,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(13ｶｲ),東京都,千代田区,霞が関霞が関ビル（１３階）,0,0,0,0,0,0
13101,100  ,1006014,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(14ｶｲ),東京都,千代田区,霞が関霞が関ビル（１４階）,0,0,0,0,0,0
13101,100  ,1006015,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(15ｶｲ),東京都,千代田区,霞が関霞が関ビル（１５階）,0,0,0,0,0,0
13101,100  ,1006016,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(16ｶｲ),東京都,千代田区,霞が関霞が関ビル（１６階）,0,0,0,0,0,0
13101,100  ,1006017,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(17ｶｲ),東京都,千代田区,霞が関霞が関ビル（１７階）,0,0,0,0,0,0
13101,100  ,1006018,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(18ｶｲ),東京都,千代田区,霞が関霞が関ビル（１８階）,0,0,0,0,0,0
13101,100  ,1006019,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(19ｶｲ),東京都,千代田区,霞が関霞が関ビル（１９階）,0,0,0,0,0,0
13101,100  ,1006020,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(20ｶｲ),東京都,千代田区,霞が関霞が関ビル（２０階）,0,0,0,0,0,0
13101,100  ,1006021,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(21ｶｲ),東京都,千代田区,霞が関霞が関ビル（２１階）,0,0,0,0,0,0
13101,100  ,1006022,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(22ｶｲ),東京都,千代田区,霞が関霞が関ビル（２２階）,0,0,0,0,0,0
13101,100  ,1006023,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(23ｶｲ),東京都,千代田区,霞が関霞が関ビル（２３階）,0,0,0,0,0,0
13101,100  ,1006024,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(24ｶｲ),東京都,千代田区,霞が関霞が関ビル（２４階）,0,0,0,0,0,0
13101,100  ,1006025,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(25ｶｲ),東京都,千代田区,霞が関霞が関ビル（２５階）,0,0,0,0,0,0
13101,100  ,1006026,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(26ｶｲ),東京都,千代田区,霞が関霞が関ビル（２６階）,0,0,0,0,0,0
13101,100  ,1006027,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(27ｶｲ),東京都,千代田区,霞が関霞が関ビル（２７階）,0,0,0,0,0,0
13101,100  ,1006028,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(28ｶｲ),東京都,千代田区,霞が関霞が関ビル（２８階）,0,0,0,0,0,0
13101,100  ,1006029,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(29ｶｲ),東京都,千代田区,霞が関霞が関ビル（２９階）,0,0,0,0,0,0
13101,100  ,1006030,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(30ｶｲ),東京都,千代田区,霞が関霞が関ビル（３０階）,0,0,0,0,0,0
13101,100  ,1006031,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(31ｶｲ),東京都,千代田区,霞が関霞が関ビル（３１階）,0,0,0,0,0,0
13101,100  ,1006032,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(32ｶｲ),東京都,千代田区,霞が関霞が関ビル（３２階）,0,0,0,0,0,0
13101,100  ,1006033,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(33ｶｲ),東京都,千代田区,霞が関霞が関ビル（３３階）,0,0,0,0,0,0
13101,100  ,1006034,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(34ｶｲ),東京都,千代田区,霞が関霞が関ビル（３４階）,0,0,0,0,0,0
13101,100  ,1006035,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(35ｶｲ),東京都,千代田区,霞が関霞が関ビル（３５階）,0,0,0,0,0,0
13101,100  ,1006036,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶｽﾐｶﾞｾｷｶｽﾐｶﾞｾｷﾋﾞﾙ(36ｶｲ),東京都,千代田区,霞が関霞が関ビル（３６階）,0,0,0,0,0,0
13101,101  ,1010029,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｱｲｵｲﾁｮｳ,東京都,千代田区,神田相生町,0,0,0,0,0,0
13101,101  ,1010063,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｱﾜｼﾞﾁｮｳ,東京都,千代田区,神田淡路町,0,0,1,0,0,0
13101,101  ,1010024,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｲｽﾞﾐﾁｮｳ,東京都,千代田区,神田和泉町,0,0,0,0,0,0
13101,101  ,1010033,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｲﾜﾓﾄﾁｮｳ,東京都,千代田区,神田岩本町,0,0,0,0,0,0
13101,101  ,1010052,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｵｶﾞﾜﾏﾁ,東京都,千代田区,神田小川町,0,0,1,0,0,0
13101,101  ,1010045,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｶｼﾞﾁｮｳ,東京都,千代田区,神田鍛冶町,0,0,1,0,0,0
13101,101  ,1010036,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｷﾀﾉﾘﾓﾉﾁｮｳ,東京都,千代田区,神田北乗物町,0,0,0,0,0,0
13101,101  ,1010035,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｺﾝﾔﾁｮｳ,東京都,千代田区,神田紺屋町,0,0,0,0,0,0
13101,101  ,1010026,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｻｸﾏｶﾞｼ,東京都,千代田区,神田佐久間河岸,0,0,0,0,0,0
13101,101  ,1010025,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｻｸﾏﾁｮｳ,東京都,千代田区,神田佐久間町,0,0,1,0,0,0
13101,101  ,1010064,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｻﾙｶﾞｸﾁｮｳ,東京都,千代田区,神田猿楽町,0,0,1,0,0,0
13101,101  ,1010051,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｼﾞﾝﾎﾞｳﾁｮｳ,東京都,千代田区,神田神保町,0,0,1,0,0,0
13101,101  ,1010041,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｽﾀﾞﾁｮｳ,東京都,千代田区,神田須田町,0,0,1,0,0,0
13101,101  ,1010062,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞｽﾙｶﾞﾀﾞｲ,東京都,千代田区,神田駿河台,0,0,1,0,0,0
13101,101  ,1010046,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾀﾁｮｳ,東京都,千代田区,神田多町,0,0,1,0,0,0
13101,101  ,1010048,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾂｶｻﾏﾁ,東京都,千代田区,神田司町,0,0,1,0,0,0
13101,101  ,1010043,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾄﾐﾔﾏﾁｮｳ,東京都,千代田区,神田富山町,0,0,0,0,0,0
13101,101  ,1010054,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾆｼｷﾁｮｳ,東京都,千代田区,神田錦町,0,0,1,0,0,0
13101,101  ,1010037,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾆｼﾌｸﾀﾞﾁｮｳ,東京都,千代田区,神田西福田町,0,0,0,0,0,0
13101,101  ,1010022,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾈﾘﾍﾞｲﾁｮｳ,東京都,千代田区,神田練塀町,0,0,0,0,0,0
13101,101  ,1010028,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾊﾅｵｶﾁｮｳ,東京都,千代田区,神田花岡町,0,0,0,0,0,0
13101,101  ,1010034,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾋｶﾞｼｺﾝﾔﾁｮｳ,東京都,千代田区,神田東紺屋町,0,0,0,0,0,0
13101,101  ,1010042,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾋｶﾞｼﾏﾂｼﾀﾁｮｳ,東京都,千代田区,神田東松下町,0,0,0,0,0,0
13101,101  ,1010027,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾋﾗｶﾜﾁｮｳ,東京都,千代田区,神田平河町,0,0,0,0,0,0
13101,101  ,1010023,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾏﾂﾅｶﾞﾁｮｳ,東京都,千代田区,神田松永町,0,0,0,0,0,0
13101,101  ,1010038,ﾄｳｷｮｳﾄ,ﾁﾖﾀﾞｸ,ｶﾝﾀﾞﾐｸﾗﾁｮｳ,東京都,千代田区,神田美倉町,0,0,0,0,0,0
